ac   align-content
ai   align-items
as   align-self
b    bottom
bbc  border-bottom-color
bbw  border-bottom-width
bgc  background-color
bgp  background-position
bgr  background-repeat
bgs  background-size
blc  border-left-color
blw  border-left-width
br   border-radius
brc  border-right-color
brw  border-right-width
bs   box-shadow
btc  border-top-color
btw  border-top-width
c    color
cu   cursor
d    display
ff   font-family
fs   font-size
fst  font-style
fw   font-weight
fx   flex
fxd  flex-direction
fxw  flex-wrap
h    height
jc   justify-content
l    left
lh   line-height
ls   letter-spacing
mb   margin-bottom
ml   margin-left
mr   margin-right
mt   margin-top
nh   min-height
nw   min-width
o    opacity
ov   overflow
ovw  overflow-wrap
p    position
pb   padding-bottom
pe   pointer-events
pl   padding-left
pr   padding-right
pt   padding-top
r    right
t    top
ta   text-align
td   text-decoration
to   transform-origin
tov  text-overflow
ts   text-shadow
tt   text-transform
us   user-select
v    visibility
va   vertical-align
w    width
ws   white-space
ww   word-wrap
xh   max-height
xw   max-width
zi   z-index
